页面,中文,lkey,英文,印尼语,泰语,越南语,马来语,截图
首页,日常任务,MainPage_Task,Daily Tasks,Tugas harian,ภารกิจประจำวัน,Nhiệm vụ hàng ngày,Tugas Harian,
,签到,MainPage_Checkin,Check-in,Masuk,รายงานตัว,Báo danh,Tandatangani ,
,商城,MainPage_Shop,Shop,Mall,ห้างสรรพสินค้า,Trung tâm thương mại,Kedai,
,邀请好友,MainPage_Invitation,Invite Friends,Undang teman,เชิญชวนเพื่อน,Mời bạn bè,Jemput Kawan,
,排行榜,MainPage_Ranking,Ranking,Spanduk utama,ลีดเดอร์บอร์ด,Bảng xếp hạng,Ranking,
,竞技PK场,MainPage_Arena,Arena,Bidang PK atletik,สนามรบ,Sàn đấu PK,Arena PK,
,随机进入游戏,MainPage_RadomGame,Random Game,Akses acak ke game,สุ่มเกม,Tham gia trò chơi ngẫu nhiên,Masuk permainan secara rambang,
,s%人正在玩,MainPage_Playing,s% users are currently playing,s% orang sedang bermain,มี s% คนกำลังเล่นเกมอยู่,s% người đang chơi,s% orang sedang bermain,
,,,,,,,,
